"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Elevation"
"AC-001","2023-09-26T19:03:21-03:00",-23.9122446522841,-65.4646409297222,-2692882.28016455,-1166057.83055119,"Complexo Puncoviscana ","2080.316406"
"AC-002","2023-09-27T09:19:42-03:00",-23.9268608144297,-65.4671729216896,-2694543.88550202,-1166182.09816063,"Complexo Puncoviscana","2087.972748"
"AC-003","2023-09-27T11:44:26-03:00",-23.587066114853,-65.39499424657,-2655810.79777376,-1161903.17010896,"Quaternário","2622.107238"
"AC-004","2023-09-27T13:11:51-03:00",-23.5933055877685,-65.3789978027344,-2656381.43245572,-1160220.03828149,"Complexo Puncoviscana","2772.888014"
"AC-005","2023-09-27T15:36:23-03:00",-23.3664198574315,-65.3404388058557,-2630604.00969314,-1158298.14055723,"Grupo Santa Victoria","2747.451501"
"AC-006","2023-09-27T16:51:45-03:00",-23.3710821023867,-65.3495750184482,-2631200.61109957,-1159188.40496053,"Grupo Santa Victoria","2803.889317"
"AC-007","2023-09-27T16:51:10-03:00",-23.3745250711367,-65.3355864901704,-2631474.86041062,-1157732.39600754,"Grupo Santa Victoria","2738.758742"
"AC-008","2023-09-28T09:23:07-03:00",-23.7067666645527,-65.5331255801556,-2670378.7449172,-1174876.21065724,"Grupo Salta","2615.834413"
"AC-009","2023-09-28T11:05:34-03:00",-23.6681386790138,-65.5927218960212,-2666533.54730662,-1181285.28083089,"Quaternário","3186.337952"
"AC-010","2023-09-28T13:25:39-03:00",-23.4401614407669,-66.2522045683565,-2646502.98355348,-1250507.90034614,"Grupo Santa Victoria","3625.749679"
"AC-011","2023-09-28T14:43:48-03:00",-23.4287927428228,-66.2272909654309,-2645008.12143788,-1248079.34292267,"Granodiorito Ordoviciano","3595.960141"
"AC-012","2023-09-28T16:09:01-03:00",-23.6097605934457,-65.8640335895705,-2662245.24100391,-1209411.33658263,"Salinas Grandes","3409.108023"
"AC-013","2023-09-28T17:39:15-03:00",-23.652921694471,-65.7581380713094,-2666202.8643467,-1198243.4075518,"Grupo Santa Victoria","3660.221043"
"AC-014","2023-09-29T11:26:33-03:00",-23.4105010722212,-66.360155935502,-2644106.92069569,-1261783.97104815,"Grupo Santa Victoria","3753.294802"
"AC-015","2023-09-29T17:43:18-03:00",-22.9224653090805,-67.8788904094755,-2603061.92788011,-1421599.26316944,"Licancabur","4038.868955"
"AC-016","2023-09-30T11:05:16-03:00",-23.8057321390825,-67.8570240025703,-2702641.22147337,-1409843.58377686,"Miñiques","3851.025890"
"AC-017","2023-09-30T13:07:21-03:00",-23.8814942312683,-67.8254120348936,-2710883.85402123,-1405806.95327081,"Miñiques","4083.137698"
"AC-018","2023-09-30T14:46:12-03:00",-23.9515128947172,-67.6012608255733,-2716577.66021863,-1382328.47285934,"Laguna Tuyajto","4078.364883"
"AC-019","2023-10-01T09:08:32-03:00",-22.9175340764085,-68.2412971080944,-2606051.81779161,-1458659.32825478,"Grupo Purilactis","2559.643287"
"AC-020","2023-10-01T11:17:47-03:00",-22.7600515806755,-68.397433735021,-2589781.94335699,-1476329.58331804,"Grupo Purilactis","3375.707095"
"AC-021","2023-10-01T12:59:32-03:00",-22.3217021022534,-68.9714926884358,-2545901.47005276,-1539946.51213302,"Mina Chuquicamata","2929.356691"
"AC-022","2023-10-02T12:21:30-03:00",-20.2963594093184,-70.128499893881,-2327356.24141027,-1681943.66862817,"Sequência de Mejillones","28.713005"
"AC-023","2023-10-02T14:46:45-03:00",-21.0610733797044,-70.1505268513026,-2414779.36219424,-1675623.68265588,"Batólito Costeiro","14.742370"
"AC-024","2023-10-02T16:52:41-03:00",-21.4212372012641,-70.0276610302955,-2454525.64762191,-1658792.90338327,"Foz do Rio Loa","491.637135"
"AC-025","2023-10-03T10:02:46-03:00",-22.5087683322971,-70.2317658499933,-2580612.63281167,-1666810.51112176,"Batólito Costeiro","436.152145"
"AC-026","2023-10-03T13:04:55-03:00",-23.4878564483148,-70.4156370386629,-2694201.87240361,-1673222.02465337,"Sequência de Mejillones","97.413322"
"AC-027","2023-10-03T14:40:51-03:00",-23.0981212772868,-70.4815195716679,-2650576.52003254,-1684921.78558082,"Sequência de Mejillones","10.050869"
"AC-028","2023-10-03T18:20:16-03:00",-22.2657030781942,-70.234594390766,-2552958.38894117,-1670065.64066894,"Formação La Negra","1.971393"
"AC-029","2023-10-07T11:14:46-03:00",-25.5990005994954,-65.5935328308965,-2883287.72892001,-1163147.19939753,"Grupo Salta","1154.570635"
"AC-030","2023-10-07T12:35:35-03:00",-25.6150912621521,-65.6266066224135,-2885383.89917811,-1166299.01956285,"Grupo Salta","1430.220237"
"AC-031","2023-10-07T13:04:00-03:00",-25.7211829771454,-65.6984651366786,-2897925.15515615,-1172438.7920422,"Grupo Salta","1307.074690"
"AC-032","2023-10-07T14:27:42-03:00",-25.7476058928441,-65.6843638513849,-2900765.3329375,-1170767.44532099,"Grupo Salta","1325.207627"
"AC-033","2023-10-07T15:13:38-03:00",-25.8552595786991,-65.7000563666836,-2912986.30952463,-1171265.07221271,"Grupo Salta","1509.622246"
